taskID,passage,label
IEPA.d2.s2_10,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN2 than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",yes
IEPA.d2.s2_11,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN1 than did oCSP ewes (+553 and +168% for PROTEIN2 and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",yes
IEPA.d2.s3_12,"These results indicate that oTP-1 may prevent luteolysis by inhibiting development of endometrial responsiveness to PROTEIN1 and, therefore, reduce PROTEIN2 induced synthesis of PROTEIN and PGF2 alpha",no
IEPA.d2.s3_13,"These results indicate that oTP-1 may prevent luteolysis by inhibiting development of endometrial responsiveness to PROTEIN and, therefore, reduce PROTEIN1 induced synthesis of PROTEIN2 and PGF2 alpha",yes
IEPA.d2.s3_14,"These results indicate that oTP-1 may prevent luteolysis by inhibiting development of endometrial responsiveness to PROTEIN1 and, therefore, reduce PROTEIN induced synthesis of PROTEIN2 and PGF2 alpha",no
IEPA.d3.s4_15, PROTEIN1 and PROTEIN2 binding in human myometrium,no
IEPA.d4.s5_16,The effects of prostaglandin F2 alpha (PGF2 alpha) on intracellular Ca2+ concentration ([Ca2+]i) and PROTEIN1 (IP) generation in human myometrial cells were evaluated and compared to the effects of PROTEIN2 ,no
IEPA.d4.s6_17,"In contrast, the potencies of PROTEIN1 to raise PROTEIN2 and [Ca2+]i were similar and independent of extracellular Ca2+, and could be suppressed by pertussis toxin and phorbol ester, but not by verapamil",yes
IEPA.d4.s7_18,"The action of PGF2 alpha depends on extracellular Ca2+, whereas PROTEIN1 activates the G-protein-dependent phospholipase-C- PROTEIN2 Ca2+ signal-transducing pathway, complemented by the influx of extracellular Ca2+",yes
IEPA.d8.s14_19,"The objectives of this study were to evaluate and compare the actions of endothelin-1 (ET-1), PROTEIN1 prostaglandin F2 alpha (PGF2 alpha) and PROTEIN2 (IP3) on 45Ca2+ mobilization in permeabilized rat myometrial cells and to examine the activation of the inositol lipid cycle in intact myocytes",no
IEPA.d8.s15_20,"All four agonists caused a biphasic release of 45Ca2+ from non-mitochondrial pool(s), with the rank order of potency: PROTEIN1 > PGF2 alpha > ET-1 > PROTEIN2 ",no
IEPA.d8.s16_21,"Endothelin-1 and PROTEIN1 stimulated PROTEIN2 accumulation at concentrations similar to those that promoted 45Ca2+ efflux, whereas about 100 times higher concentrations of PGF2 alpha were needed to activate this signaling pathway in intact cells",yes
IEPA.d8.s17_22,"It is concluded that the primary action of PGF2 alpha in myometrial cells is to enhance Ca2+ influx, whereas PROTEIN1 and ET-1 receptors are coupled to phospholipase C, generating PROTEIN2 and raising the intracellular concentration of free Ca2+ from intracellular as well as extracellular sources",yes
IEPA.d9.s18_23," PROTEIN1 induced a biphasic increase in the intracellular Ca2+ concentration of porcine myometrial cells: participation of a pertussis toxin-insensitive G-protein, PROTEIN2 sensitive Ca2+ pool, and Ca2+ channels",no
IEPA.d9.s19_24,Administration of PROTEIN1 (1 microM) for 15 sec increased PROTEIN2 (IP3) formation by 61%,yes
IEPA.d9.s20_25,"Pretreatment with pertussis toxin (PTX, 1 microgram/ml) for 2 hr failed to alter the PROTEIN1 induced increase in [Ca2+]i and PROTEIN2 formation",yes
IEPA.d9.s21_26,U-73122 (3 microM) also abolished the PROTEIN1 induced PROTEIN2 formation,yes
IEPA.d10.s22_27, PROTEIN1 beta protein disruption of cholinergic and growth factor PROTEIN2 signals could underlie cognitive and neurodegerative aspects of Alzheimer's disease,yes
IEPA.d11.s23_28," PROTEIN1 beta protein (25-35) stimulation of PROTEIN2 A, C and D activities of LA-N-2 cells",yes
IEPA.d11.s24_29,"[3H]Inositol prelabeled LA-N-2 cells were exposed to varying concentrations of PROTEIN1 from 20 to 125 micrograms/ml, and PROTEIN2 activation was measured",no
IEPA.d11.s25_30,"The effects of adrenergic, metabotropic amino acid and bombesin antagonists on the PROTEIN1 mediated stimulation of PROTEIN2 activity was investigated",yes
IEPA.d11.s26_31,"Propranolol, a beta adrenergic antagonist, 7-chloro-kynurenic acid, a metabotropic amino acid antagonist, and [Tyr4-D-Phe12]bombesin, a bombesin antagonist, blunted the PROTEIN1 stimulation of PROTEIN2 activity in [3H]inositol prelabeled LA-N-2 cells",yes
IEPA.d11.s27_32,This suggests that PROTEIN1 beta protein activation of PROTEIN2 may be receptor mediated,yes
IEPA.d11.s28_33,The PROTEIN1 inhibitor U 71322 prevented the activation of PROTEIN by PROTEIN2 ,no
IEPA.d11.s28_34,The PROTEIN inhibitor U 71322 prevented the activation of PROTEIN1 by PROTEIN2 ,yes
IEPA.d11.s28_35,The PROTEIN1 inhibitor U 71322 prevented the activation of PROTEIN2 by PROTEIN ,no
IEPA.d12.s29_36,These results suggest that PROTEIN1 secretion and PROTEIN production in NT2N neurons are regulated by the muscarinic/ PROTEIN2 signal transduction pathway,yes
IEPA.d12.s29_37,These results suggest that PROTEIN secretion and PROTEIN1 production in NT2N neurons are regulated by the muscarinic/ PROTEIN2 signal transduction pathway,yes
IEPA.d12.s29_38,These results suggest that PROTEIN1 secretion and PROTEIN2 production in NT2N neurons are regulated by the muscarinic/ PROTEIN signal transduction pathway,no
IEPA.d13.s30_39,"Current interest in reducing heart disease risks by diet involves attention to total fat; saturated, monounsaturated, polyunsaturated and trans fatty acids, as well as dietary PROTEIN1 soluble fiber, salt, alcohol, antioxidants, dietary alterations causing homocysteinemia and other dietary constituents, such as PROTEIN2 compounds in some soy products",no
IEPA.d14.s31_40,This indicates that the calcium response to PROTEIN1 application was principally associated with activation of the PROTEIN2 sensitive calcium stores,no
IEPA.d15.s32_41,The beta PROTEIN1 protein fragments had diverse effects on phosphoinositide-specific PROTEIN2 (PI-PLC) as assayed in rat cortical membranes,yes
IEPA.d16.s33_42,"They are needed for the catabolism of PROTEIN1 bile acids, and steroid hormones; they hydrolyze a number of PROTEIN2 glycosides to anticarcinogens; and they detoxify certain carcinogens",no
IEPA.d17.s34_43,"The aim of this study was to investigate the effects of hCG, hCG plus PROTEIN1 and PROTEIN2 on [3H] PROTEIN (IP) formations in porcine myometrial cells obtained from ovariectomized and cyclic gilts",no
IEPA.d17.s34_44,"The aim of this study was to investigate the effects of hCG, hCG plus PROTEIN and PROTEIN1 on [3H] PROTEIN2 (IP) formations in porcine myometrial cells obtained from ovariectomized and cyclic gilts",yes
IEPA.d17.s34_45,"The aim of this study was to investigate the effects of hCG, hCG plus PROTEIN1 and PROTEIN on [3H] PROTEIN2 (IP) formations in porcine myometrial cells obtained from ovariectomized and cyclic gilts",yes
IEPA.d17.s35_46,"The highest production of total PROTEIN1 (d.p.m.) was found in cells from ovariectomized gilts given in vivo estradiol benzoate and progesterone for five consecutive days and treated with 1000 mU hCG and 100 mU hCG plus 1 microM PROTEIN2 (984 +/- 84 and 1063 +/- 131 vs 314 +/- 36, respectively)",yes
IEPA.d17.s36_47,"There was also a very significant increase of PROTEIN1 after the addition of 1000 mU hCG (p < 0.001) and PROTEIN2 and PROTEIN when 1000 mU hCG plus PROTEIN were added (p < 0.001 and p < 0.01, respectively)",no
IEPA.d17.s36_48,"There was also a very significant increase of PROTEIN after the addition of 1000 mU hCG (p < 0.001) and PROTEIN1 and PROTEIN2 when 1000 mU hCG plus PROTEIN were added (p < 0.001 and p < 0.01, respectively)",no
IEPA.d17.s36_49,"There was also a very significant increase of PROTEIN after the addition of 1000 mU hCG (p < 0.001) and PROTEIN1 and PROTEIN when 1000 mU hCG plus PROTEIN2 were added (p < 0.001 and p < 0.01, respectively)",yes
IEPA.d17.s36_50,"There was also a very significant increase of PROTEIN1 after the addition of 1000 mU hCG (p < 0.001) and PROTEIN and PROTEIN2 when 1000 mU hCG plus PROTEIN were added (p < 0.001 and p < 0.01, respectively)",no
IEPA.d17.s36_51,"There was also a very significant increase of PROTEIN1 after the addition of 1000 mU hCG (p < 0.001) and PROTEIN and PROTEIN when 1000 mU hCG plus PROTEIN2 were added (p < 0.001 and p < 0.01, respectively)",yes
IEPA.d17.s36_52,"There was also a very significant increase of PROTEIN after the addition of 1000 mU hCG (p < 0.001) and PROTEIN and PROTEIN1 when 1000 mU hCG plus PROTEIN2 were added (p < 0.001 and p < 0.01, respectively)",yes
IEPA.d17.s37_53,Only PROTEIN1 alone increased the formation of PROTEIN2 in cells from ovariectomized pigs treated with estradiol in vivo (p < 0.01),yes
IEPA.d17.s38_54,The highest dose of hCG plus The highest dose of hCG plus PROTEIN1 provoked accumulation of total [3H] PROTEIN2 (p < 0.05) 53% over the basal level on days 21/1 of the estrous cycle,yes
IEPA.d17.s39_55,The present study demonstrates that hCG and PROTEIN1 can increase the accumulation of PROTEIN2 in porcine myometrial cells,yes
IEPA.d18.s40_56,"The relative risks between highest and lowest quarters of PROTEIN1 intake adjusted for age, smoking, serum PROTEIN2 concentration, blood pressure, and body mass index were 0.69 (95% confidence interval 0.53 to 0.90) and 0.54 (0.33 to 0.87) for total and coronary mortality, respectively",no
IEPA.d19.s41_57,"Granulosa cells were isolated from bovine preovulatory follicles and cultured for 3 days with or without PROTEIN1 in medium supplemented with either PROTEIN2 (1 microgram/ml) + 1% fetal calf serum (FCS), which maintains basal estradiol secretion, or low doses of FSH (1 and 2 ng/ml) + 1% FCS, a culture condition that maximizes effects of FSH on estradiol secretion",no
IEPA.d20.s42_58,"We propose that PROTEIN1 binds to specific OT receptors (OTR) on the endometrium to stimulate phosphoinositide (PI) hydrolysis, thereby activating the inositol trisphosphate ( PROTEIN2 -diacylglycerol (DAG) second-messenger system to promote pulsatile PGF2 alpha secretion",yes
IEPA.d20.s43_59,Endometrial PROTEIN1 was increased within 30 seconds after PROTEIN2 treatment and preceded the increase in PGF2 alpha release stimulated by PROTEIN ,yes
IEPA.d20.s43_60,Endometrial PROTEIN was increased within 30 seconds after PROTEIN1 treatment and preceded the increase in PGF2 alpha release stimulated by PROTEIN2 ,no
IEPA.d20.s43_61,Endometrial PROTEIN1 was increased within 30 seconds after PROTEIN treatment and preceded the increase in PGF2 alpha release stimulated by PROTEIN2 ,no
IEPA.d20.s44_62,"These results support the hypothesis that PROTEIN1 stimulates phospholipase C to hydrolyze PI, yielding PROTEIN2 and DAG second-messengers which promote endometrial PGF2 alpha release during CL regression in pigs",yes
IEPA.d21.s45_63,These data suggest that cAMP-dependent phosphorylation at a step involving GTP-binding protein/PLC coupling can exert a negative effect on the stimulation of PROTEIN1 formation by PROTEIN2 and thereby affect contraction/relaxation in the myometrium,yes
IEPA.d22.s46_64,"Once the abnormally phosphorylated abnormal PROTEIN1 isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN isoform that aggregates to abnormally phosphorylated abnormal PROTEIN isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN2 specific PROTEIN ",no
IEPA.d22.s46_65,"Once the abnormally phosphorylated abnormal PROTEIN isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN1 isoform that aggregates to abnormally phosphorylated abnormal PROTEIN isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN2 specific PROTEIN ",no
IEPA.d22.s46_66,"Once the abnormally phosphorylated abnormal PROTEIN isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN isoform that aggregates to abnormally phosphorylated abnormal PROTEIN1 isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN2 specific PROTEIN ",no
IEPA.d22.s46_67,"Once the abnormally phosphorylated abnormal PROTEIN isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN isoform that aggregates to abnormally phosphorylated abnormal PROTEIN isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN1 specific PROTEIN2 ",yes
IEPA.d22.s46_68,"Once the abnormally phosphorylated abnormal PROTEIN1 isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN2 isoform that aggregates to abnormally phosphorylated abnormal PROTEIN isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN specific PROTEIN ",no
IEPA.d22.s46_69,"Once the abnormally phosphorylated abnormal PROTEIN1 isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN isoform that aggregates to abnormally phosphorylated abnormal PROTEIN2 isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN specific PROTEIN ",no
IEPA.d22.s46_70,"Once the abnormally phosphorylated abnormal PROTEIN1 isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN isoform that aggregates to abnormally phosphorylated abnormal PROTEIN isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN specific PROTEIN2 ",no
IEPA.d22.s46_71,"Once the abnormally phosphorylated abnormal PROTEIN isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN1 isoform that aggregates to abnormally phosphorylated abnormal PROTEIN2 isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN specific PROTEIN ",no
IEPA.d22.s46_72,"Once the abnormally phosphorylated abnormal PROTEIN isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN1 isoform that aggregates to abnormally phosphorylated abnormal PROTEIN isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN specific PROTEIN2 ",no
IEPA.d22.s46_73,"Once the abnormally phosphorylated abnormal PROTEIN isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN isoform that aggregates to abnormally phosphorylated abnormal PROTEIN1 isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN specific PROTEIN2 ",no
IEPA.d23.s47_74,The resulting abnormally phosphorylated PROTEIN aggregates to freshly synthesized PROTEIN transforming it into same; due to a system of positive feedback invoked by the organophosphate-induced blockage of a PROTEIN1 specific PROTEIN2 ,yes
IEPA.d23.s47_75,The resulting abnormally phosphorylated PROTEIN aggregates to freshly synthesized PROTEIN1 transforming it into same; due to a system of positive feedback invoked by the organophosphate-induced blockage of a PROTEIN specific PROTEIN2 ,no
IEPA.d23.s47_76,The resulting abnormally phosphorylated PROTEIN1 aggregates to freshly synthesized PROTEIN transforming it into same; due to a system of positive feedback invoked by the organophosphate-induced blockage of a PROTEIN specific PROTEIN2 ,no
IEPA.d23.s47_77,The resulting abnormally phosphorylated PROTEIN aggregates to freshly synthesized PROTEIN1 transforming it into same; due to a system of positive feedback invoked by the organophosphate-induced blockage of a PROTEIN2 specific PROTEIN ,no
IEPA.d23.s47_78,The resulting abnormally phosphorylated PROTEIN1 aggregates to freshly synthesized PROTEIN transforming it into same; due to a system of positive feedback invoked by the organophosphate-induced blockage of a PROTEIN2 specific PROTEIN ,no
IEPA.d23.s47_79,The resulting abnormally phosphorylated PROTEIN1 aggregates to freshly synthesized PROTEIN2 transforming it into same; due to a system of positive feedback invoked by the organophosphate-induced blockage of a PROTEIN specific PROTEIN ,no
IEPA.d24.s48_80,The aim of the present study was to investigate how PROTEIN1 given subcutaneously (SC) and intracerebroventricularly (ICV) influences the secretion of PROTEIN2 glucagon and glucose and to investigate whether the effect on these variables of suckling in lactating rats is mediated by oxytocinergic mechanisms,yes
IEPA.d24.s49_81,Subcutaneous injections of PROTEIN1 increased PROTEIN2 glucagon and glucose levels significantly,yes
IEPA.d24.s50_82,Two nanograms PROTEIN1 given ICV had no effect on glucagon and glucose levels but caused a significant rise in PROTEIN2 levels at this time point,yes
IEPA.d24.s51_83,The PROTEIN1 antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN2 levels itself and therefore the effect on PROTEIN induced PROTEIN secretion was difficult to evaluate,no
IEPA.d24.s51_84,The PROTEIN1 antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN levels itself and therefore the effect on PROTEIN induced PROTEIN2 secretion was difficult to evaluate,no
IEPA.d24.s51_85,The PROTEIN1 antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN levels itself and therefore the effect on PROTEIN2 induced PROTEIN secretion was difficult to evaluate,no
IEPA.d24.s51_86,The PROTEIN antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN1 levels itself and therefore the effect on PROTEIN induced PROTEIN2 secretion was difficult to evaluate,no
IEPA.d24.s51_87,The PROTEIN antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN1 levels itself and therefore the effect on PROTEIN2 induced PROTEIN secretion was difficult to evaluate,no
IEPA.d24.s51_88,The PROTEIN antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN levels itself and therefore the effect on PROTEIN1 induced PROTEIN2 secretion was difficult to evaluate,yes
IEPA.d24.s52_89,Intracerebroventricular injections of 200 ng PROTEIN1 caused a significant rise not only of PROTEIN2 but also of glucagon and glucose levels,yes
IEPA.d24.s53_90,"In contrast, nanogram amounts of PROTEIN1 administered ICV cause a rise of PROTEIN2 levels",yes
IEPA.d25.s54_91,The responses of serum PROTEIN1 (OT) and vasopressin (AVP) to the serotonergic HT1A agonist buspirone (15 mg p.o.) or the HTD1 agonist sumatriptan (6 mg injected subcutaneously) were evaluated in 7 normal men either in basal conditions or during an PROTEIN2 (0.15 iu/kg as an i.v. bolus) tolerance test (ITT),no
IEPA.d25.s55_92,Stimulation of 5HT-1D receptors with sumatriptan was unable to change neither AVP nor PROTEIN1 response to PROTEIN2 induced hypoglycemia,yes
IEPA.d26.s56_93,"The SGR and RGR also had different endocrine profiles with, for example, twice as high PROTEIN1 (p < 0.01) and PROTEIN2 levels (p < 0.01) in RGR compared to the SGR",no
IEPA.d27.s57_94,"8-OH-DPAT also increased PROTEIN1 and decreased CCK and somatostatin levels, effects that were blocked by pretreatment with the PROTEIN2 antagonist",yes
IEPA.d27.s58_95,"Taken together, these data suggest that the effect of 8-OH-DPAT on plasma levels of PROTEIN1 somatostatin and CCK may be mediated by PROTEIN2 ",yes
IEPA.d27.s59_96,"In previous experiments, we have shown that following i.c.v. application of PROTEIN1 plasma levels of PROTEIN2 are increased through a cholinergic mechanism",yes
IEPA.d28.s60_97,"In HVSMC both PROTEIN1 and AVP increased PROTEIN (IP3) production and [Ca2+]i response, but the efficacy of the responses was greater for PROTEIN2 than AVP",no
IEPA.d28.s60_98,"In HVSMC both PROTEIN1 and AVP increased PROTEIN2 (IP3) production and [Ca2+]i response, but the efficacy of the responses was greater for PROTEIN than AVP",yes
IEPA.d28.s60_99,"In HVSMC both PROTEIN and AVP increased PROTEIN1 (IP3) production and [Ca2+]i response, but the efficacy of the responses was greater for PROTEIN2 than AVP",no
IEPA.d31.s63_100," PROTEIN1 may rapidly stimulate PROTEIN2 (IP3) and diacylglycerol (DAG) formation, consistent with the concept of rapid activation of a second-messenger system",yes
IEPA.d31.s64_101,"In support of this hypothesis, endometrial PROTEIN1 levels were increased (P < 0.05) within 0.5 min after treatment with 0.1 microM PROTEIN2 ",yes
IEPA.d31.s65_102,These results indicate that PROTEIN1 induces endometrial PROTEIN2 production in a rapid manner indicative of a second-messenger system,yes
IEPA.d32.s66_103,Gamma-aminobutyric acid mediation of the inhibitory effect of nitric oxide on the arginine vasopressin and PROTEIN1 responses to PROTEIN2 induced hypoglycemia,yes
IEPA.d32.s67_104,"Previous studies have demonstrated that the nitric oxide (NO) synthase inhibitor L-NAME exerts positive effects on the arginine vasopressin (AVP) and PROTEIN1 (OT) responses to PROTEIN2 induced hypoglycemia, suggesting inhibitory actions of NO",yes
IEPA.d32.s68_105,"AVP and PROTEIN1 secretory patterns during PROTEIN2 (0.15 IU/kg, i.v.)-tolerance tests (ITT) were examined in seven normal male subjects with (experimental tests) and without (control test) concomitant treatment with L-NAME (40 micrograms/kg injected plus 50 micrograms/kg infused, i.v.), the GABAergic agent sodium valproate (600 mg in three divided doses orally) or the combination of L-NAME and sodium valproate",no
IEPA.d32.s69_106, PROTEIN1 induced hypoglycemia increased by 2-fold (peak vs. baseline) plasma AVP and PROTEIN2 levels,yes
IEPA.d32.s70_107,These data indicate a GABAergic mediation of the inhibitory modulation by NO of the AVP and PROTEIN1 responses to PROTEIN2 induced hypoglycemia,yes
IEPA.d33.s71_108,Correlation between the stimulatory effect of PROTEIN1 on the formation of PROTEIN2 and the oxytocin receptor level in the pregnant rabbit myometrium,yes
IEPA.d33.s72_109,"OBJECTIVE: In order to elucidate the roles of PROTEIN1 (IP3) and oxytocin (OT) receptors in rabbit parturition, the concentration of PROTEIN2 induced by PROTEIN and the OT receptor levels were determined in rabbit myometria before and after parturition",no
IEPA.d33.s72_110,"OBJECTIVE: In order to elucidate the roles of PROTEIN1 (IP3) and oxytocin (OT) receptors in rabbit parturition, the concentration of PROTEIN induced by PROTEIN2 and the OT receptor levels were determined in rabbit myometria before and after parturition",no
IEPA.d33.s72_111,"OBJECTIVE: In order to elucidate the roles of PROTEIN (IP3) and oxytocin (OT) receptors in rabbit parturition, the concentration of PROTEIN1 induced by PROTEIN2 and the OT receptor levels were determined in rabbit myometria before and after parturition",yes
IEPA.d33.s73_112,"METHODS: The effects of PROTEIN1 on PROTEIN2 formation and OT receptor levels were determined in the myometria of non-pregnant rabbits, Days 26, 28 and 30 of pregnancy rabbits, postpartum rabbits within 12 hours and steroid-treated ovariectomized rabbits",no
IEPA.d33.s74_113,"RESULTS: OT receptors were not detectable in the myometria of non-pregnant rabbits, and PROTEIN1 had no effect on the formation of PROTEIN2 (IPs)",yes
IEPA.d33.s75_114,"On Day 28 of pregnancy, OT receptors became detectable, and then PROTEIN1 could induce the formation of PROTEIN2 ",yes
IEPA.d33.s76_115,"Thereafter, the stimulatory effects of PROTEIN1 on PROTEIN2 formation and the OT receptor levels dramatically increased toward the end of pregnancy and reduced rapidly after parturition",yes
IEPA.d33.s77_116,"When the ovariectomized pregnant rabbits were treated with estrogen, OT receptors in the myometrium were induced, and PROTEIN1 acquired the ability to stimulate PROTEIN2 formation",yes
IEPA.d33.s78_117,"In addition, an OT receptor antagonist inhibited the stimulatory effects of PROTEIN1 on PROTEIN2 formation",yes
IEPA.d33.s79_118,"CONCLUSIONS: These results suggest that the formation of PROTEIN1 by PROTEIN2 the OT receptor levels in the myometrium, and the production of PGF2 in the decidua might play crucial roles in parturition",yes
IEPA.d34.s80_119,Immunohistochemical localization of PROTEIN1 and PROTEIN2 in white and brown adipose tissue,no
IEPA.d34.s81_120,"To establish the cell type expressing PROTEIN1 we also assessed the size and organization of lipid droplets, the ultrastructural features of mitochondria, and the presence or absence of PROTEIN2 a brown fat-specific marker",no
IEPA.d34.s82_121,"In brown adipose tissue of lean animals, multilocular PROTEIN1 (UCP)-positive brown adipocytes had typical brown mitochondria and were PROTEIN2 negative, both in fed and fasted conditions",no
IEPA.d34.s83_122,"At the periphery of the interscapular brown adipose tissue depot, unilocular, PROTEIN1 negative adipocytes (mean diameter: 41.55 microns) with white-type mitochondria were observed, and these cells were PROTEIN2 positive",no
IEPA.d34.s84_123,"In obese (db/db) animals, brown fat was composed mainly of small unilocular, PROTEIN1 positive adipocytes (mean diameter: 40.08 microns), which were also PROTEIN2 positive",no
IEPA.d34.s85_124,"In summary, classical brown adipocytes differ from white adipocytes, not only by their morphology and PROTEIN1 expression, but also by their apparent lack of detectable PROTEIN2 expression",no
IEPA.d36.s87_125,Wortmannin converts PROTEIN1 but not PROTEIN2 from an antilipolytic to a lipolytic agent in the presence of forskolin,no
IEPA.d36.s88_126,"The present studies compared the effects of PROTEIN1 in rat adipocytes with the effects of PROTEIN and peroxovanadate, which mimic some effects of PROTEIN2 ",no
IEPA.d36.s88_127,"The present studies compared the effects of PROTEIN1 in rat adipocytes with the effects of PROTEIN2 and peroxovanadate, which mimic some effects of PROTEIN ",no
