taskID,passage,label
HPRD50.d4.s1_27,Immobilized PROTEIN also bound PROTEIN besides PROTEIN1 and PROTEIN2 ,no
HPRD50.d4.s1_28,Immobilized PROTEIN1 also bound PROTEIN besides PROTEIN and PROTEIN2 ,yes
HPRD50.d5.s0_29, PROTEIN1 regulates beta-2 integrin-mediated adhesion through both ARF-GEF function and interaction with PROTEIN2 ,yes
HPRD50.d5.s1_30,"Here we provide evidence of how PROTEIN1 an integrin-binding protein and guanine-nucleotide exchange factor (GEF) for PROTEIN2 GTPases, regulates cell adhesion",yes
HPRD50.d5.s2_31,Mutational analyses of the beta-2 cytoplasmic domain revealed that the adhesive function of PROTEIN1 depends on its interaction with PROTEIN2 unless the integrin is activated by exogenous divalent cations,yes
HPRD50.d5.s3_32,"Secondly, PROTEIN1 induces expression of an extracellular activation epitope of PROTEIN2 and the exchange factor function is not essential for this activity",yes
HPRD50.d5.s4_33,"In contrast, LFA-1-mediated cell adhesion and spreading on intercellular cell adhesion molecule 1 is strongly inhibited by a PROTEIN1 mutant, which fails to catalyze PROTEIN2 GDP-GTP exchange in vitro",yes
HPRD50.d5.s5_34,"Thus, PROTEIN1 is involved in the activation of PROTEIN2 most probably through direct interaction with the integrin, and induces cell spreading by its ARF-GEF activity",yes
HPRD50.d7.s0_35,Suppression of rat thromboxane synthase gene transcription by PROTEIN1 in macrophages via an interaction with PROTEIN2 ,yes
HPRD50.d7.s1_36,"Deletion analysis showed that the element responsible for the PPARgamma effect is located in a region containing the nuclear factor E2 ( PROTEIN1 / PROTEIN2 site (-98/-88), which was indicated to be the major promoter of the TXS gene",no
HPRD50.d7.s2_37,"By electrophoretic mobility shift assay using the PROTEIN PROTEIN1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN2 ( PROTEIN ",no
HPRD50.d7.s2_38,"By electrophoretic mobility shift assay using the PROTEIN PROTEIN site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN1 ( PROTEIN2 ",no
HPRD50.d7.s2_39,"By electrophoretic mobility shift assay using the PROTEIN1 PROTEIN site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN2 ( PROTEIN ",no
HPRD50.d7.s2_40,"By electrophoretic mobility shift assay using the PROTEIN PROTEIN1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN ( PROTEIN2 ",no
HPRD50.d7.s2_41,"By electrophoretic mobility shift assay using the PROTEIN1 PROTEIN2 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN ( PROTEIN ",no
HPRD50.d7.s2_42,"By electrophoretic mobility shift assay using the PROTEIN1 PROTEIN site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor PROTEIN ( PROTEIN2 ",no
HPRD50.d7.s3_43,"Finally, a direct interaction between PPARgamma and PROTEIN1 was confirmed by PROTEIN2 pull-down assay",no
HPRD50.d8.s0_44,"By constructing deletion mutants, we identified that amino acid residues 229-309 of Akt were involved in the binding to PROTEIN1 and amino acid residues 327-340 of PROTEIN2 were involved in the binding to Akt",no
HPRD50.d9.s0_45,"Here, we cloned and characterized a mouse orthologue of human PROTEIN1 protein as an atypical PROTEIN2 (named PROTEIN ",no
HPRD50.d9.s0_46,"Here, we cloned and characterized a mouse orthologue of human PROTEIN protein as an atypical PROTEIN1 (named PROTEIN2 ",no
HPRD50.d9.s0_47,"Here, we cloned and characterized a mouse orthologue of human PROTEIN1 protein as an atypical PROTEIN (named PROTEIN2 ",no
HPRD50.d9.s1_48,"Subcellular fractionation and antibody-uptake experiments indicate that PROTEIN1 is indeed a type-I membrane protein, but, unlike other PROTEIN2 isoforms, lacks an N-terminal extracellular domain",no
HPRD50.d11.s0_49,Direct interaction between the cytoplasmic tail of PROTEIN1 and the Src homology 3 domain of PROTEIN activates PROTEIN2 in C2C12 cells,yes
HPRD50.d11.s0_50,Direct interaction between the cytoplasmic tail of PROTEIN and the Src homology 3 domain of PROTEIN1 activates PROTEIN2 in C2C12 cells,yes
HPRD50.d11.s0_51,Direct interaction between the cytoplasmic tail of PROTEIN1 and the Src homology 3 domain of PROTEIN2 activates PROTEIN in C2C12 cells,yes
HPRD50.d11.s1_52,This suggests that transmembrane PROTEIN1 by providing docking sites for the Src homology 3 domain of PROTEIN2 activates PI 3-kinase by mediating its recruitment to the membrane,yes
HPRD50.d12.s0_53, PROTEIN1 binds to the C-terminal SH2 domain of PROTEIN2 and inhibits its enzymatic activity,yes
HPRD50.d12.s1_54,"In this report, we demonstrate the stable association of PROTEIN1 with PROTEIN in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PROTEIN2 but also inhibits its enzymatic activity in a dose-dependent manner",no
HPRD50.d12.s1_55,"In this report, we demonstrate the stable association of PROTEIN1 with PROTEIN2 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PROTEIN but also inhibits its enzymatic activity in a dose-dependent manner",yes
HPRD50.d12.s1_56,"In this report, we demonstrate the stable association of PROTEIN with PROTEIN1 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PROTEIN2 but also inhibits its enzymatic activity in a dose-dependent manner",yes
HPRD50.d13.s0_57,Here we demonstrate colocalization and direct interaction between PROTEIN1 and PROTEIN2 ,yes
HPRD50.d13.s1_58,"Overexpression of PROTEIN1 results in a zinc finger-dependent localization of a PROTEIN isoform and dynactin to MT bundles, raising the possibility that PROTEIN2 and PROTEIN regulate dynein/dynactin binding to MTs",no
HPRD50.d13.s1_59,"Overexpression of PROTEIN1 results in a zinc finger-dependent localization of a PROTEIN isoform and dynactin to MT bundles, raising the possibility that PROTEIN and PROTEIN2 regulate dynein/dynactin binding to MTs",no
HPRD50.d13.s1_60,"Overexpression of PROTEIN1 results in a zinc finger-dependent localization of a PROTEIN2 isoform and dynactin to MT bundles, raising the possibility that PROTEIN and PROTEIN regulate dynein/dynactin binding to MTs",yes
HPRD50.d13.s1_61,"Overexpression of PROTEIN results in a zinc finger-dependent localization of a PROTEIN isoform and dynactin to MT bundles, raising the possibility that PROTEIN1 and PROTEIN2 regulate dynein/dynactin binding to MTs",no
HPRD50.d13.s1_62,"Overexpression of PROTEIN results in a zinc finger-dependent localization of a PROTEIN1 isoform and dynactin to MT bundles, raising the possibility that PROTEIN2 and PROTEIN regulate dynein/dynactin binding to MTs",no
HPRD50.d13.s1_63,"Overexpression of PROTEIN results in a zinc finger-dependent localization of a PROTEIN1 isoform and dynactin to MT bundles, raising the possibility that PROTEIN and PROTEIN2 regulate dynein/dynactin binding to MTs",no
HPRD50.d13.s2_64,"This work suggests that PROTEIN1 is a regulated adapter between PROTEIN2 and cytoplasmic dynein at sites involved in cargo-MT loading, and/or in the control of MT dynamics",yes
HPRD50.d14.s0_65, PROTEIN1 and PROTEIN2 multifunctional endocytic receptors,no
HPRD50.d14.s1_66, PROTEIN1 and PROTEIN2 are two structurally different endocytic receptors that interact to serve such functions,yes
HPRD50.d16.s0_67, PROTEIN1 and PROTEIN are PROTEIN2 cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,yes
HPRD50.d16.s0_68, PROTEIN1 and PROTEIN2 are PROTEIN cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,no
HPRD50.d16.s0_69, PROTEIN and PROTEIN1 are PROTEIN2 cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,yes
HPRD50.d16.s1_70," PROTEIN1 ( PROTEIN , PROTEIN ( PROTEIN , and PROTEIN ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_71," PROTEIN1 ( PROTEIN , PROTEIN2 ( PROTEIN , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_72," PROTEIN1 ( PROTEIN2 , PROTEIN ( PROTEIN , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_73," PROTEIN1 ( PROTEIN , PROTEIN ( PROTEIN2 , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_74," PROTEIN1 ( PROTEIN , PROTEIN ( PROTEIN , and PROTEIN2 ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_75," PROTEIN ( PROTEIN , PROTEIN1 ( PROTEIN , and PROTEIN ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_76," PROTEIN ( PROTEIN1 , PROTEIN ( PROTEIN , and PROTEIN ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_77," PROTEIN ( PROTEIN , PROTEIN ( PROTEIN1 , and PROTEIN ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_78," PROTEIN ( PROTEIN , PROTEIN ( PROTEIN , and PROTEIN1 ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_79," PROTEIN ( PROTEIN1 , PROTEIN2 ( PROTEIN , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_80," PROTEIN ( PROTEIN , PROTEIN1 ( PROTEIN2 , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_81," PROTEIN ( PROTEIN , PROTEIN1 ( PROTEIN , and PROTEIN2 ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_82," PROTEIN ( PROTEIN1 , PROTEIN ( PROTEIN2 , and PROTEIN ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_83," PROTEIN ( PROTEIN1 , PROTEIN ( PROTEIN , and PROTEIN2 ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s1_84," PROTEIN ( PROTEIN , PROTEIN ( PROTEIN1 , and PROTEIN2 ( PROTEIN constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",no
HPRD50.d16.s2_85,Recent evidence has implicated PROTEIN1 in inhibition of PROTEIN2 cyclinB1 kinase and in G2/M cell cycle arrest,yes
HPRD50.d16.s3_86,"Yet, whether PROTEIN1 and/or PROTEIN function as inhibitors of PROTEIN2 cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",yes
HPRD50.d16.s3_87,"Yet, whether PROTEIN and/or PROTEIN1 function as inhibitors of PROTEIN2 cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",yes
HPRD50.d16.s3_88,"Yet, whether PROTEIN1 and/or PROTEIN2 function as inhibitors of PROTEIN cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",no
HPRD50.d16.s4_89,"In this work, we show that PROTEIN1 and PROTEIN2 specifically interact with the PROTEIN CyclinB1 complex, but not with other Cdk/Cyclin complexes, in vitro and in vivo",no
HPRD50.d16.s4_90,"In this work, we show that PROTEIN1 and PROTEIN specifically interact with the PROTEIN2 CyclinB1 complex, but not with other Cdk/Cyclin complexes, in vitro and in vivo",yes
HPRD50.d16.s4_91,"In this work, we show that PROTEIN and PROTEIN1 specifically interact with the PROTEIN2 CyclinB1 complex, but not with other Cdk/Cyclin complexes, in vitro and in vivo",yes
HPRD50.d16.s5_92,"Data also has been obtained that PROTEIN1 and PROTEIN as well as PROTEIN interact with both PROTEIN2 and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN cyclinB1 complex",yes
HPRD50.d16.s5_93,"Data also has been obtained that PROTEIN and PROTEIN1 as well as PROTEIN interact with both PROTEIN2 and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN cyclinB1 complex",yes
HPRD50.d16.s5_94,"Data also has been obtained that PROTEIN and PROTEIN as well as PROTEIN1 interact with both PROTEIN2 and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN cyclinB1 complex",yes
HPRD50.d16.s5_95,"Data also has been obtained that PROTEIN and PROTEIN as well as PROTEIN interact with both PROTEIN1 and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN2 cyclinB1 complex",no
HPRD50.d16.s5_96,"Data also has been obtained that PROTEIN1 and PROTEIN2 as well as PROTEIN interact with both PROTEIN and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN cyclinB1 complex",no
HPRD50.d16.s5_97,"Data also has been obtained that PROTEIN1 and PROTEIN as well as PROTEIN2 interact with both PROTEIN and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN cyclinB1 complex",no
HPRD50.d16.s5_98,"Data also has been obtained that PROTEIN1 and PROTEIN as well as PROTEIN interact with both PROTEIN and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN2 cyclinB1 complex",yes
HPRD50.d16.s5_99,"Data also has been obtained that PROTEIN and PROTEIN1 as well as PROTEIN2 interact with both PROTEIN and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN cyclinB1 complex",no
HPRD50.d16.s5_100,"Data also has been obtained that PROTEIN and PROTEIN1 as well as PROTEIN interact with both PROTEIN and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN2 cyclinB1 complex",yes
HPRD50.d16.s5_101,"Data also has been obtained that PROTEIN and PROTEIN as well as PROTEIN1 interact with both PROTEIN and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN2 cyclinB1 complex",yes
HPRD50.d16.s6_102,"Inhibition of PROTEIN cyclinB1 kinase activity by PROTEIN1 and PROTEIN was found to involve disruption of the complex, whereas PROTEIN2 did not disrupt the complex",no
HPRD50.d16.s6_103,"Inhibition of PROTEIN cyclinB1 kinase activity by PROTEIN1 and PROTEIN2 was found to involve disruption of the complex, whereas PROTEIN did not disrupt the complex",no
HPRD50.d16.s6_104,"Inhibition of PROTEIN1 cyclinB1 kinase activity by PROTEIN2 and PROTEIN was found to involve disruption of the complex, whereas PROTEIN did not disrupt the complex",yes
HPRD50.d16.s6_105,"Inhibition of PROTEIN cyclinB1 kinase activity by PROTEIN and PROTEIN1 was found to involve disruption of the complex, whereas PROTEIN2 did not disrupt the complex",no
HPRD50.d16.s6_106,"Inhibition of PROTEIN1 cyclinB1 kinase activity by PROTEIN and PROTEIN was found to involve disruption of the complex, whereas PROTEIN2 did not disrupt the complex",no
HPRD50.d16.s6_107,"Inhibition of PROTEIN1 cyclinB1 kinase activity by PROTEIN and PROTEIN2 was found to involve disruption of the complex, whereas PROTEIN did not disrupt the complex",yes
HPRD50.d18.s0_108,The transmembrane PROTEIN1 PROTEIN2 interacts with PROTEIN ,no
HPRD50.d18.s0_109,The transmembrane PROTEIN PROTEIN1 interacts with PROTEIN2 ,yes
HPRD50.d18.s0_110,The transmembrane PROTEIN1 PROTEIN interacts with PROTEIN2 ,yes
HPRD50.d18.s1_111,"The PROTEIN1 PROTEIN also known as PROTEIN2 is expressed predominantly in epithelial cells, in a variety of tumor cell lines, and in lymphocytes",no
HPRD50.d18.s1_112,"The PROTEIN1 PROTEIN2 also known as PROTEIN is expressed predominantly in epithelial cells, in a variety of tumor cell lines, and in lymphocytes",no
HPRD50.d18.s1_113,"The PROTEIN PROTEIN1 also known as PROTEIN2 is expressed predominantly in epithelial cells, in a variety of tumor cell lines, and in lymphocytes",no
HPRD50.d18.s2_114, PROTEIN1 also interacted with other members of the catenin gene family including PROTEIN2 and gamma-catenin,yes
HPRD50.d18.s3_115,"The interaction with PROTEIN1 is likely to be direct, as the interaction occurs in K562 cells lacking functional adherens junctions and PROTEIN2 expression",no
HPRD50.d18.s4_116,"Catalytic domains of the tyrosine phosphatases PROTEIN1 PROTEIN and PTPbeta did not interact with proteins of the catenin family to detectable levels, suggesting that the interaction of PROTEIN2 with these proteins is specific",no
HPRD50.d18.s4_117,"Catalytic domains of the tyrosine phosphatases PROTEIN1 PROTEIN2 and PTPbeta did not interact with proteins of the catenin family to detectable levels, suggesting that the interaction of PROTEIN with these proteins is specific",no
HPRD50.d18.s4_118,"Catalytic domains of the tyrosine phosphatases PROTEIN PROTEIN1 and PTPbeta did not interact with proteins of the catenin family to detectable levels, suggesting that the interaction of PROTEIN2 with these proteins is specific",no
HPRD50.d19.s0_119, PROTEIN1 PROTEIN2 (' PROTEIN )-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A ( PROTEIN and thyroid hormone receptor-retinoid X receptor,no
HPRD50.d19.s0_120, PROTEIN1 PROTEIN (' PROTEIN )-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A ( PROTEIN2 and thyroid hormone receptor-retinoid X receptor,yes
HPRD50.d19.s0_121, PROTEIN1 PROTEIN (' PROTEIN2 )-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A ( PROTEIN and thyroid hormone receptor-retinoid X receptor,no
HPRD50.d19.s0_122, PROTEIN PROTEIN1 (' PROTEIN )-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A ( PROTEIN2 and thyroid hormone receptor-retinoid X receptor,yes
HPRD50.d19.s0_123, PROTEIN PROTEIN1 (' PROTEIN2 )-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A ( PROTEIN and thyroid hormone receptor-retinoid X receptor,no
HPRD50.d19.s0_124, PROTEIN PROTEIN (' PROTEIN1 )-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A ( PROTEIN2 and thyroid hormone receptor-retinoid X receptor,yes
HPRD50.d19.s1_125, PROTEIN1 PROTEIN2 (' PROTEIN )-binding protein (CBP) interacting with transcription factors is able to increase their activity on target gene promoters,no
HPRD50.d19.s1_126, PROTEIN1 PROTEIN (' PROTEIN2 )-binding protein (CBP) interacting with transcription factors is able to increase their activity on target gene promoters,no
HPRD50.d19.s1_127, PROTEIN PROTEIN1 (' PROTEIN2 )-binding protein (CBP) interacting with transcription factors is able to increase their activity on target gene promoters,no
HPRD50.d19.s2_128,"Our findings showed that the same C-terminal portion of PROTEIN1 binds the N-terminal domains of both TR and PROTEIN2 and our in vivo studies demonstrated that TR, PROTEIN and PROTEIN form a ternary complex",yes
HPRD50.d19.s2_129,"Our findings showed that the same C-terminal portion of PROTEIN1 binds the N-terminal domains of both TR and PROTEIN and our in vivo studies demonstrated that TR, PROTEIN2 and PROTEIN form a ternary complex",no
HPRD50.d19.s2_130,"Our findings showed that the same C-terminal portion of PROTEIN1 binds the N-terminal domains of both TR and PROTEIN and our in vivo studies demonstrated that TR, PROTEIN and PROTEIN2 form a ternary complex",no
HPRD50.d19.s2_131,"Our findings showed that the same C-terminal portion of PROTEIN binds the N-terminal domains of both TR and PROTEIN1 and our in vivo studies demonstrated that TR, PROTEIN2 and PROTEIN form a ternary complex",no
HPRD50.d19.s2_132,"Our findings showed that the same C-terminal portion of PROTEIN binds the N-terminal domains of both TR and PROTEIN1 and our in vivo studies demonstrated that TR, PROTEIN and PROTEIN2 form a ternary complex",no
HPRD50.d19.s2_133,"Our findings showed that the same C-terminal portion of PROTEIN binds the N-terminal domains of both TR and PROTEIN and our in vivo studies demonstrated that TR, PROTEIN1 and PROTEIN2 form a ternary complex",yes
HPRD50.d20.s0_134,"The human PROTEIN1 and PROTEIN proteins form a ternary complex with hMpp10, which only interacts with the U3 PROTEIN2 in 60-80S ribonucleoprotein complexes",yes
HPRD50.d20.s0_135,"The human PROTEIN and PROTEIN1 proteins form a ternary complex with hMpp10, which only interacts with the U3 PROTEIN2 in 60-80S ribonucleoprotein complexes",yes
HPRD50.d20.s0_136,"The human PROTEIN1 and PROTEIN2 proteins form a ternary complex with hMpp10, which only interacts with the U3 PROTEIN in 60-80S ribonucleoprotein complexes",yes
HPRD50.d20.s1_137,We have cloned cDNAs encoding the human and mouse homologs of the yeast U3 snoRNP-associated proteins PROTEIN1 and PROTEIN2 ,no
HPRD50.d20.s2_138,"The results of complementation experiments show that, in contrast to mouse PROTEIN1 mouse PROTEIN can partially alleviate the growth defect of the corresponding yeast null strain, indicating that the role of PROTEIN2 in pre-rRNA processing is evolutionarily conserved",no
HPRD50.d20.s2_139,"The results of complementation experiments show that, in contrast to mouse PROTEIN1 mouse PROTEIN2 can partially alleviate the growth defect of the corresponding yeast null strain, indicating that the role of PROTEIN in pre-rRNA processing is evolutionarily conserved",no
HPRD50.d20.s2_140,"The results of complementation experiments show that, in contrast to mouse PROTEIN mouse PROTEIN1 can partially alleviate the growth defect of the corresponding yeast null strain, indicating that the role of PROTEIN2 in pre-rRNA processing is evolutionarily conserved",no
HPRD50.d20.s3_141,"The results of density gradient centrifugation experiments show that, in contrast to hU3-55K, the human PROTEIN1 and PROTEIN2 proteins predominantly interact with the U3 PROTEIN in 60-80S ribonucleoprotein complexes",no
HPRD50.d20.s3_142,"The results of density gradient centrifugation experiments show that, in contrast to hU3-55K, the human PROTEIN1 and PROTEIN proteins predominantly interact with the U3 PROTEIN2 in 60-80S ribonucleoprotein complexes",yes
HPRD50.d20.s3_143,"The results of density gradient centrifugation experiments show that, in contrast to hU3-55K, the human PROTEIN and PROTEIN1 proteins predominantly interact with the U3 PROTEIN2 in 60-80S ribonucleoprotein complexes",yes
HPRD50.d21.s0_144,"In the present study, we observed evidence of cross-talk between the cannabinoid receptor PROTEIN1 and the PROTEIN2 ( PROTEIN using a heterologous system",yes
HPRD50.d21.s0_145,"In the present study, we observed evidence of cross-talk between the cannabinoid receptor PROTEIN1 and the PROTEIN ( PROTEIN2 using a heterologous system",yes
HPRD50.d21.s0_146,"In the present study, we observed evidence of cross-talk between the cannabinoid receptor PROTEIN and the PROTEIN1 ( PROTEIN2 using a heterologous system",no
HPRD50.d21.s1_147,In contrast to PROTEIN1 the potency of direct activation of PROTEIN was not affected by co-expression with PROTEIN2 ,no
HPRD50.d21.s1_148,In contrast to PROTEIN1 the potency of direct activation of PROTEIN2 was not affected by co-expression with PROTEIN ,no
HPRD50.d21.s1_149,In contrast to PROTEIN the potency of direct activation of PROTEIN1 was not affected by co-expression with PROTEIN2 ,no
HPRD50.d21.s2_150,"In addition, electron microscopy experiments revealed that PROTEIN1 and PROTEIN2 are closely apposed at the plasma membrane level; they are close enough to form hetero-oligomers",no
HPRD50.d22.s0_151, PROTEIN a Rho family PROTEIN that interacts with signaling adapters PROTEIN1 and PROTEIN2 ,no
HPRD50.d22.s0_152, PROTEIN1 a Rho family PROTEIN that interacts with signaling adapters PROTEIN and PROTEIN2 ,yes
HPRD50.d22.s0_153, PROTEIN a Rho family PROTEIN1 that interacts with signaling adapters PROTEIN and PROTEIN2 ,yes
