Data_ID,PMID,E1,E2,True_Numeric,llama3.2:1b_1,llama3.2:1b_10,llama3.2:1b_11,llama3.2:1b_12,llama3.2:1b_13,llama3.2:1b_14,llama3.2:1b_15,llama3.2:1b_16,llama3.2:1b_17,llama3.2:1b_18,llama3.2:1b_19,llama3.2:1b_2,llama3.2:1b_20,llama3.2:1b_21,llama3.2:1b_3,llama3.2:1b_4,llama3.2:1b_5,llama3.2:1b_6,llama3.2:1b_7,llama3.2:1b_8,llama3.2:1b_9
20,22836123,corticosteroid,ssc,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22836123,corticosteroid,thrombotic microangiopathy,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,22836123,cyclosporine,scleroderma renal crisis,0,0,1,1,0,1,0,0,-1,0,1,1,1,1,0,1,0,1,0,0,1,1
23,22836123,cyclosporine,src,0,0,1,1,1,1,0,0,-1,1,1,1,1,1,0,1,0,1,0,0,1,1
24,22836123,cyclosporine,systemic sclerosis,0,0,1,1,0,1,0,0,-1,0,1,1,1,1,0,1,0,1,0,0,1,1
25,22836123,cyclosporine,ssc,0,0,1,1,0,1,0,0,-1,1,1,0,1,1,0,1,0,1,0,0,1,1
26,22836123,cyclosporine,thrombotic microangiopathy,1,0,0,1,0,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,1,1
27,22836123,corticosteroids,scleroderma renal crisis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,22836123,corticosteroids,src,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,22836123,corticosteroids,systemic sclerosis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,22836123,corticosteroids,ssc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,22836123,corticosteroids,thrombotic microangiopathy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,23433219,methamphetamine,psychosis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
33,23433219,methamphetamine,psychiatric disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,23433219,methamphetamine,psychotic symptoms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
35,23433219,methamphetamine,depressive disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,23433219,methamphetamine,bipolar disorder,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
37,23433219,methamphetamine,antisocial personality disorder,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
38,23433219,methamphetamine,major depressive disorder,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
39,23433219,methamphetamine,affective disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,23433219,methamphetamine,antisocial personality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
41,23535177,levodopa,parkinson's disease,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
42,23535177,levodopa,dyskinetic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,23535177,levodopa,pd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,23535177,levodopa,dyskinesias,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,23535177,levodopa,lids,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,23535177,levodopa,abnormal involuntary movements,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,23666265,cyclophosphamide,cystitis,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
48,23666265,cyclophosphamide,pain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,23666265,cyclophosphamide,edema,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,23666265,cyp,cystitis,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0
51,23666265,cyp,pain,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
52,23666265,cyp,edema,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,23666265,suramin,cystitis,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
54,23666265,suramin,pain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,23666265,suramin,edema,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
56,23666265,gr 82334,cystitis,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0
57,23666265,gr 82334,pain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,23666265,gr 82334,edema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,23846525,clopidogrel,hepatitis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,23846525,clopidogrel,hepatotoxicity,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,23846525,clopidogrel,hepatic injury,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,23864035,bortezomib,multiple myeloma,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0
63,23864035,bortezomib,mm,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
64,23864035,bortezomib,peripheral neuropathy,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0
65,23864035,dexamethasone,multiple myeloma,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1
66,23864035,dexamethasone,mm,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0
67,23864035,dexamethasone,peripheral neuropathy,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
68,23864035,bort,multiple myeloma,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,23864035,bort,mm,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
70,23864035,bort,peripheral neuropathy,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0
71,23864035,dex,multiple myeloma,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1
72,23864035,dex,mm,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
73,23864035,dex,peripheral neuropathy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,23871786,bisphenol a,anxiety,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0
75,23871786,bpa,anxiety,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,23872883,isoproterenol,cardiotoxicity,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
77,23872883,isoproterenol,cardiovascular diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,23872883,isoproterenol,cvds,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0
79,23872883,lactate,cardiotoxicity,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0
80,23872883,lactate,cardiovascular diseases,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
81,23872883,lactate,cvds,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
82,23872883,creatine,cardiotoxicity,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0
83,23872883,creatine,cardiovascular diseases,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
84,23872883,creatine,cvds,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0
85,23872883,alanine,cardiotoxicity,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
86,23872883,alanine,cardiovascular diseases,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
87,23872883,alanine,cvds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,23872883,aspartate,cardiotoxicity,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,23872883,aspartate,cardiovascular diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,23872883,aspartate,cvds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,23872883,angiotensin,cardiotoxicity,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,23872883,angiotensin,cardiovascular diseases,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,23872883,angiotensin,cvds,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,23872883,cholesterol,cardiotoxicity,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
95,23872883,cholesterol,cardiovascular diseases,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
96,23872883,cholesterol,cvds,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
97,23872883,triglycerides,cardiotoxicity,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
98,23872883,triglycerides,cardiovascular diseases,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
99,23872883,triglycerides,cvds,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
100,23872883,fatty acid,cardiotoxicity,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
101,23872883,fatty acid,cardiovascular diseases,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
102,23872883,fatty acid,cvds,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
103,23872883,malondialdehyde,cardiotoxicity,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
104,23872883,malondialdehyde,cardiovascular diseases,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
105,23872883,malondialdehyde,cvds,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
106,23872883,mda,cardiotoxicity,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1
107,23872883,mda,cardiovascular diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,23872883,mda,cvds,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1
109,23872883,nitric oxide,cardiotoxicity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,23872883,nitric oxide,cardiovascular diseases,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1
111,23872883,nitric oxide,cvds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,23872883,glutathione,cardiotoxicity,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1
113,23872883,glutathione,cardiovascular diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,23872883,glutathione,cvds,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1
115,23872883,superoxide,cardiotoxicity,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116,23872883,superoxide,cardiovascular diseases,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,23872883,superoxide,cvds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,23872883,captopril,cardiotoxicity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,23872883,captopril,cardiovascular diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,23872883,captopril,cvds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,23892921,lenalidomide,multiple myeloma,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
122,23892921,lenalidomide,myeloma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,23892921,lenalidomide,rrmm,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
124,23892921,lenalidomide,myelosuppression,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,23892921,lenalidomide,peripheral neuropathy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,23892921,lenalidomide,deep vein thrombosis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,23892921,dexamethasone,multiple myeloma,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,23892921,dexamethasone,myeloma,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
129,23892921,dexamethasone,rrmm,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1
130,23892921,dexamethasone,myelosuppression,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
131,23892921,dexamethasone,peripheral neuropathy,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
132,23892921,dexamethasone,deep vein thrombosis,1,1,0,0,1,0,0,0,1,1,-1,1,0,1,1,0,1,1,0,0,0,0
133,23892921,rd,multiple myeloma,0,1,1,1,-1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,0,0,0
134,23892921,rd,myeloma,0,1,1,0,-1,1,0,0,1,1,-1,1,1,1,1,1,1,1,1,0,0,0
135,23892921,rd,rrmm,0,1,1,1,-1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,0,0,0
136,23892921,rd,myelosuppression,0,1,1,0,-1,1,0,0,1,1,-1,1,1,1,1,1,1,1,1,0,0,0
137,23892921,rd,peripheral neuropathy,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
138,23892921,rd,deep vein thrombosis,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0
139,23892921,thalidomide,multiple myeloma,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
140,23892921,thalidomide,myeloma,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
141,23892921,thalidomide,rrmm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,23892921,thalidomide,myelosuppression,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0
143,23892921,thalidomide,peripheral neuropathy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,23892921,thalidomide,deep vein thrombosis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,23892921,bortezomib,multiple myeloma,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0
146,23892921,bortezomib,myeloma,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0
147,23892921,bortezomib,rrmm,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
148,23892921,bortezomib,myelosuppression,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,23892921,bortezomib,peripheral neuropathy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,23892921,bortezomib,deep vein thrombosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
151,23949582,ifosfamide,hemorrhagic cystitis,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
152,23949582,ifosfamide,genotoxicity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,23949582,mesna,hemorrhagic cystitis,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
154,23949582,mesna,genotoxicity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,23949582,ifo,hemorrhagic cystitis,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
156,23949582,ifo,genotoxicity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
157,23949582,nitrogen,hemorrhagic cystitis,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
158,23949582,nitrogen,genotoxicity,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
159,23949582,sodium 2-sulfanylethanesulfonate,hemorrhagic cystitis,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
160,23949582,sodium 2-sulfanylethanesulfonate,genotoxicity,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
161,23952588,levodopa,dyskinesia,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
162,23952588,levodopa,parkinson's disease,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
163,23952588,levodopa,pd,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0
164,24040781,everolimus,proteinuria,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,24040781,everolimus,al,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
166,24040781,everolimus,amyloidosis,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0
167,24040781,everolimus,fibrosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,24040781,everolimus,atrophy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,24040781,everolimus,glomerulopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,24040781,rapamycin,proteinuria,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0
171,24040781,rapamycin,al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,24040781,rapamycin,amyloidosis,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
173,24040781,rapamycin,fibrosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,24040781,rapamycin,atrophy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,24040781,rapamycin,glomerulopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,24040781,tacrolimus,proteinuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,24040781,tacrolimus,al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,24040781,tacrolimus,amyloidosis,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1
179,24040781,tacrolimus,fibrosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,24040781,tacrolimus,atrophy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,24040781,tacrolimus,glomerulopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,24067251,tenofovir disoproxil fumarate,kidney injury,0,-1,0,0,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0
183,24067251,tenofovir disoproxil fumarate,acute kidney injury,1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0
184,24067251,tenofovir disoproxil fumarate,kidney tubular dysfunction,0,-1,0,0,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0
185,24067251,tenofovir disoproxil fumarate,fanconi syndrome,1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0
186,24067251,tenofovir disoproxil fumarate,kidney disease,0,-1,0,0,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0
187,24067251,tenofovir disoproxil fumarate,glomerular dysfunction,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0
188,24067251,tenofovir,kidney injury,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
189,24067251,tenofovir,acute kidney injury,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
190,24067251,tenofovir,kidney tubular dysfunction,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
191,24067251,tenofovir,fanconi syndrome,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
192,24067251,tenofovir,kidney disease,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1
193,24067251,tenofovir,glomerular dysfunction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,24067251,tdf,kidney injury,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1
195,24067251,tdf,acute kidney injury,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
196,24067251,tdf,kidney tubular dysfunction,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1
197,24067251,tdf,fanconi syndrome,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
198,24067251,tdf,kidney disease,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
199,24067251,tdf,glomerular dysfunction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,24068571,thiopentone,postoperative delirium,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
201,24068571,thiopentone,delirium,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0
202,24068571,thiopentone,neurological dysfunctions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,24068571,thiopentone,confusion,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0
204,24068571,propofol,postoperative delirium,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
205,24068571,propofol,delirium,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1
206,24068571,propofol,neurological dysfunctions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,24068571,propofol,confusion,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0
208,24072398,methamphetamine,neurotoxic,0,-1,-1,0,1,-1,0,-1,-1,-1,0,1,-1,1,0,-1,0,-1,-1,0,0,0
209,24072398,methamphetamine,depressive,1,-1,-1,0,0,-1,0,-1,-1,-1,0,0,-1,0,0,-1,0,-1,-1,0,0,0
210,24072398,methamphetamine,depressive symptoms,1,-1,-1,0,1,-1,0,-1,-1,-1,0,0,-1,1,0,-1,0,-1,-1,0,0,0
